9591760
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
127,0.06,-0.202,0.368,-0.304,0.805,
128,0.059,-0.205,0.374,-0.32,0.821,
129,0.057,-0.208,0.381,-0.329,0.83,
130,0.057,-0.204,0.377,-0.356,0.858,
131,0.064,-0.205,0.387,-0.363,0.856,
132,0.064,-0.208,0.39,-0.362,0.859,
133,0.059,-0.204,0.392,-0.368,0.867,
134,0.075,-0.209,0.4,-0.366,0.854,
135,0.077,-0.213,0.405,-0.394,0.883,
136,0.078,-0.219,0.421,-0.404,0.889,
137,0.077,-0.229,0.433,-0.421,0.909,
138,0.079,-0.235,0.442,-0.435,0.925,
139,0.078,-0.233,0.44,-0.433,0.926,
140,0.078,-0.234,0.442,-0.448,0.944,
141,0.083,-0.232,0.429,-0.448,0.961,
142,0.083,-0.232,0.395,-0.418,0.966,
143,0.077,-0.234,0.395,-0.424,0.983,
144,0.073,-0.24,0.403,-0.423,0.995,
145,0.082,-0.241,0.391,-0.412,0.99,
146,0.076,-0.243,0.4,-0.42,0.999,
147,0.071,-0.247,0.399,-0.416,1.007,
148,0.078,-0.243,0.391,-0.435,1.025,
149,0.097,-0.239,0.389,-0.445,1.014,
150,0.105,-0.242,0.388,-0.457,1.027,
151,0.097,-0.244,0.381,-0.437,1.028,
152,0.098,-0.274,0.403,-0.428,1.03,
153,0.094,-0.266,0.393,-0.422,1.033,
154,0.093,-0.267,0.403,-0.42,1.039,
155,0.092,-0.268,0.408,-0.417,1.044,
156,0.09,-0.291,0.425,-0.413,1.052,
157,0.086,-0.285,0.416,-0.402,1.054,
158,0.085,-0.275,0.413,-0.415,1.066,
159,0.081,-0.267,0.405,-0.404,1.064,
160,0.085,-0.272,0.423,-0.405,1.051,
161,0.096,-0.273,0.426,-0.414,1.051,
162,0.098,-0.274,0.429,-0.436,1.071,
163,0.101,-0.274,0.461,-0.466,1.069,
164,0.131,-0.275,0.46,-0.466,1.043,
165,0.144,-0.271,0.456,-0.468,1.044,
166,0.156,-0.27,0.448,-0.47,1.048,
167,0.153,-0.27,0.456,-0.471,1.051,
168,0.152,-0.27,0.445,-0.47,1.068,
169,0.148,-0.257,0.442,-0.468,1.069,
170,0.146,-0.255,0.435,-0.466,1.075,
171,0.146,-0.239,0.433,-0.481,1.081,
172,0.14,-0.231,0.428,-0.469,1.079,
173,0.14,-0.219,0.426,-0.476,1.077,
174,0.136,-0.218,0.423,-0.461,1.074,
175,0.135,-0.21,0.419,-0.465,1.077,
176,0.135,-0.215,0.425,-0.502,1.114,
177,0.139,-0.215,0.423,-0.507,1.121,
178,0.135,-0.214,0.431,-0.511,1.125,
179,0.138,-0.204,0.421,-0.502,1.118,
180,0.135,-0.199,0.414,-0.504,1.135,
181,0.141,-0.195,0.408,-0.507,1.142,
182,0.143,-0.195,0.41,-0.516,1.153,
183,0.147,-0.195,0.411,-0.537,1.174,
184,0.147,-0.194,0.411,-0.535,1.18,
185,0.147,-0.184,0.407,-0.541,1.186,
186,0.153,-0.183,0.406,-0.546,1.195,
187,0.157,-0.185,0.414,-0.55,1.199,
188,0.158,-0.181,0.414,-0.565,1.221,
189,0.157,-0.185,0.413,-0.57,1.241,
190,0.156,-0.179,0.405,-0.576,1.251,
191,0.16,-0.18,0.403,-0.598,1.278,
192,0.159,-0.18,0.395,-0.588,1.281,
193,0.158,-0.162,0.38,-0.592,1.287,
194,0.157,-0.16,0.372,-0.598,1.301,
195,0.157,-0.158,0.367,-0.591,1.302,
196,0.161,-0.161,0.379,-0.597,1.303,
197,0.17,-0.164,0.375,-0.612,1.318,
198,0.165,-0.173,0.388,-0.606,1.321,
199,0.166,-0.164,0.384,-0.622,1.342,
200,0.171,-0.163,0.381,-0.616,1.346,
201,0.171,-0.16,0.377,-0.612,1.349,
202,0.172,-0.148,0.37,-0.616,1.349,
203,0.175,-0.149,0.372,-0.623,1.359,
204,0.198,-0.174,0.368,-0.619,1.363,
205,0.198,-0.174,0.368,-0.619,1.372,
206,0.194,-0.171,0.368,-0.634,1.393,
207,0.206,-0.184,0.365,-0.628,1.399,
208,0.207,-0.174,0.363,-0.634,1.398,
209,0.204,-0.164,0.362,-0.628,1.395,
210,0.212,-0.175,0.362,-0.624,1.404,
211,0.215,-0.174,0.358,-0.62,1.406,
212,0.191,-0.174,0.36,-0.601,1.416,
213,0.19,-0.174,0.364,-0.594,1.418,
214,0.192,-0.177,0.372,-0.613,1.433,
215,0.188,-0.177,0.37,-0.605,1.44,
216,0.189,-0.178,0.362,-0.605,1.456,
217,0.187,-0.172,0.362,-0.619,1.468,
218,0.188,-0.16,0.361,-0.644,1.484,
219,0.201,-0.156,0.354,-0.647,1.48,
220,0.19,-0.162,0.356,-0.637,1.496,
221,0.188,-0.166,0.359,-0.627,1.498,
222,0.188,-0.156,0.357,-0.634,1.505,
223,0.198,-0.163,0.359,-0.65,1.518,
224,0.2,-0.153,0.352,-0.65,1.523,
225,0.2,-0.152,0.349,-0.662,1.542,
226,0.201,-0.165,0.357,-0.681,1.566,
227,0.2,-0.167,0.364,-0.675,1.563,
228,0.199,-0.166,0.365,-0.671,1.563,
229,0.195,-0.163,0.362,-0.67,1.573,
230,0.195,-0.146,0.349,-0.666,1.576,
231,0.193,-0.129,0.351,-0.682,1.577,
232,0.192,-0.138,0.369,-0.694,1.586,
233,0.191,-0.137,0.372,-0.699,1.593,
234,0.201,-0.136,0.371,-0.698,1.596,
235,0.201,-0.146,0.371,-0.701,1.613,
236,0.197,-0.144,0.365,-0.706,1.629,
237,0.197,-0.143,0.365,-0.7,1.642,
238,0.189,-0.141,0.364,-0.711,1.667,
239,0.189,-0.135,0.354,-0.716,1.681,
240,0.191,-0.133,0.361,-0.722,1.684,
241,0.189,-0.121,0.35,-0.727,1.692,
242,0.188,-0.114,0.34,-0.719,1.693,
243,0.188,-0.108,0.334,-0.741,1.721,
244,0.188,-0.095,0.307,-0.725,1.723,
245,0.184,-0.083,0.298,-0.715,1.719,
246,0.182,-0.078,0.298,-0.719,1.724,
247,0.183,-0.077,0.293,-0.715,1.734,
248,0.185,-0.068,0.284,-0.706,1.736,
249,0.19,-0.068,0.281,-0.723,1.76,
250,0.192,-0.069,0.278,-0.732,1.78,
251,0.203,-0.059,0.27,-0.751,1.792,
252,0.199,-0.059,0.269,-0.759,1.812,
253,0.196,-0.065,0.262,-0.759,1.83,
254,0.194,-0.06,0.262,-0.756,1.836,
255,0.19,-0.062,0.272,-0.759,1.84,
256,0.171,-0.062,0.308,-0.762,1.833,
257,0.167,-0.063,0.316,-0.76,1.839,
258,0.158,-0.065,0.314,-0.751,1.848,
259,0.156,-0.069,0.309,-0.754,1.865,
260,0.156,-0.066,0.307,-0.747,1.87,
261,0.155,-0.07,0.305,-0.765,1.899,
262,0.163,-0.071,0.302,-0.78,1.915,
263,0.163,-0.068,0.301,-0.779,1.924,
264,0.172,-0.068,0.294,-0.78,1.927,
265,0.171,-0.069,0.285,-0.792,1.954,
266,0.169,-0.061,0.281,-0.794,1.964,
267,0.169,-0.043,0.241,-0.772,1.964,
268,0.165,-0.045,0.251,-0.767,1.96,
269,0.158,-0.044,0.25,-0.774,1.981,
270,0.153,-0.047,0.252,-0.778,1.99,
271,0.149,-0.035,0.245,-0.781,1.991,
272,0.153,-0.035,0.243,-0.801,2.017,
273,0.152,-0.024,0.236,-0.826,2.041,
274,0.149,-0.021,0.236,-0.83,2.054,
275,0.149,-0.016,0.233,-0.835,2.065,
276,0.155,-0.023,0.232,-0.861,2.093,
277,0.155,-0.017,0.229,-0.854,2.097,
278,0.161,-0.016,0.223,-0.863,2.108,
279,0.157,-0.015,0.224,-0.863,2.124,
280,0.163,-0.019,0.222,-0.872,2.143,
281,0.173,-0.022,0.214,-0.882,2.158,
282,0.176,-0.02,0.213,-0.888,2.17,
283,0.167,-0.024,0.227,-0.888,2.174,
284,0.167,-0.018,0.224,-0.887,2.176,
285,0.167,-0.021,0.23,-0.889,2.187,
286,0.166,-0.02,0.218,-0.881,2.196,
287,0.164,-0.026,0.23,-0.883,2.197,
288,0.172,-0.021,0.222,-0.884,2.196,
289,0.169,-0.015,0.219,-0.89,2.203,
290,0.173,-0.01,0.215,-0.914,2.227,
291,0.173,-0.009,0.202,-0.921,2.251,
292,0.172,-0.01,0.2,-0.907,2.249,
293,0.171,0.014,0.175,-0.891,2.242,
294,0.172,0.016,0.17,-0.901,2.257,
295,0.177,0.01,0.166,-0.893,2.257,
296,0.181,0.01,0.161,-0.906,2.274,
297,0.183,0.01,0.158,-0.912,2.29,
298,0.181,0.007,0.149,-0.914,2.31,
299,0.179,0,0.146,-0.917,2.329,
300,0.173,0,0.154,-0.941,2.355,
301,0.174,-0.01,0.164,-0.941,2.357,
302,0.174,-0.006,0.16,-0.933,2.365,
303,0.174,-0.005,0.158,-0.936,2.375,
304,0.165,0.002,0.165,-0.938,2.375,
305,0.165,-0.002,0.164,-0.927,2.371,
306,0.162,-0.006,0.163,-0.918,2.38,
307,0.153,-0.004,0.172,-0.917,2.384,
308,0.15,-0.003,0.169,-0.924,2.399,
309,0.148,0.003,0.165,-0.928,2.413,
310,0.157,0.013,0.154,-0.935,2.418,
311,0.153,0.011,0.151,-0.937,2.429,
312,0.144,0.013,0.149,-0.939,2.439,
313,0.145,0.017,0.143,-0.944,2.456,
314,0.144,0.022,0.157,-0.943,2.44,
315,0.143,0.026,0.145,-0.929,2.442,
316,0.146,0.016,0.145,-0.934,2.461,
317,0.145,0.019,0.145,-0.945,2.482,
318,0.154,0.024,0.141,-0.956,2.488,
319,0.136,0.018,0.141,-0.958,2.517,
320,0.135,0.015,0.138,-0.963,2.537,
321,0.141,0.019,0.132,-0.968,2.544,
322,0.14,0.015,0.128,-0.962,2.555,
323,0.138,0.016,0.115,-0.955,2.57,
324,0.137,0.022,0.11,-0.963,2.582,
325,0.121,0.048,0.127,-0.989,2.583,
326,0.118,0.038,0.139,-0.987,2.588,
327,0.088,0.038,0.141,-0.988,2.622,
328,0.096,0.042,0.136,-0.997,2.632,
329,0.101,0.04,0.147,-1.019,2.646,
330,0.102,0.037,0.146,-1.027,2.663,
331,0.098,0.037,0.153,-1.02,2.67,
332,0.096,0.029,0.152,-1.021,2.691,
333,0.098,0.029,0.152,-1.044,2.715,
334,0.087,0.031,0.163,-1.051,2.723,
335,0.067,0.029,0.185,-1.057,2.73,
336,0.066,0.073,0.141,-1.057,2.731,
337,0.065,0.085,0.123,-1.06,2.746,
338,0.053,0.071,0.136,-1.063,2.767,
339,0.058,0.067,0.143,-1.064,2.772,
340,0.055,0.061,0.143,-1.063,2.785,
341,0.061,0.061,0.137,-1.105,2.827,
342,0.048,0.053,0.152,-1.097,2.83,
343,0.045,0.061,0.151,-1.096,2.834,
344,0.045,0.064,0.151,-1.12,2.858,
345,0.013,0.069,0.177,-1.121,2.862,
346,-0.013,0.071,0.182,-1.123,2.887,
347,-0.019,0.073,0.181,-1.135,2.913,
348,-0.012,0.072,0.178,-1.128,2.913,
349,-0.016,0.082,0.176,-1.121,2.909,
350,-0.015,0.096,0.189,-1.143,2.907,
351,-0.014,0.09,0.191,-1.161,2.933,
352,-0.018,0.091,0.192,-1.166,2.947,
353,-0.012,0.089,0.192,-1.168,2.952,
354,-0.019,0.101,0.187,-1.169,2.958,
355,-0.02,0.096,0.197,-1.175,2.966,
356,-0.013,0.098,0.199,-1.186,2.969,
357,-0.04,0.098,0.208,-1.166,2.966,
358,-0.042,0.094,0.217,-1.163,2.972,
359,-0.047,0.107,0.219,-1.172,2.976,
360,-0.063,0.113,0.236,-1.175,2.977,
361,-0.062,0.105,0.236,-1.16,2.977,
362,-0.067,0.087,0.238,-1.135,2.977,
363,-0.091,0.105,0.244,-1.134,2.977,
364,-0.082,0.11,0.231,-1.129,2.976,
