9591760
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
83,0.023,-0.393,0.69,0.062,0.052,
84,0.023,-0.378,0.69,0.046,0.056,
85,0.023,-0.369,0.689,0.046,0.057,
86,0.021,-0.376,0.702,0.047,0.055,
87,0.016,-0.375,0.7,0.049,0.062,
88,0.009,-0.382,0.701,0.071,0.058,
89,0.005,-0.36,0.702,0.066,0.05,
90,0.007,-0.369,0.717,0.067,0.048,
91,0.007,-0.384,0.724,0.081,0.048,
92,0.004,-0.381,0.726,0.082,0.054,
93,-0.01,-0.366,0.731,0.083,0.051,
94,0.006,-0.368,0.726,0.079,0.046,
95,0.017,-0.389,0.741,0.078,0.042,
96,0.015,-0.384,0.741,0.069,0.059,
97,0.014,-0.379,0.743,0.067,0.059,
98,0.017,-0.379,0.738,0.072,0.064,
99,0.017,-0.387,0.756,0.07,0.064,
100,0.023,-0.385,0.761,0.068,0.061,
101,0.031,-0.372,0.758,0.065,0.056,
102,0.031,-0.38,0.745,0.078,0.07,
103,0.035,-0.384,0.737,0.082,0.083,
104,0.034,-0.387,0.739,0.082,0.09,
105,0.037,-0.386,0.755,0.081,0.075,
106,0.035,-0.39,0.755,0.087,0.078,
107,0.058,-0.382,0.75,0.087,0.058,
108,0.056,-0.375,0.755,0.084,0.057,
109,0.056,-0.356,0.755,0.072,0.059,
110,0.05,-0.357,0.758,0.084,0.056,
111,0.052,-0.351,0.756,0.084,0.064,
112,0.048,-0.36,0.769,0.09,0.062,
113,0.049,-0.368,0.772,0.095,0.068,
114,0.046,-0.369,0.778,0.108,0.053,
115,0.042,-0.367,0.785,0.108,0.052,
116,0.04,-0.389,0.809,0.105,0.056,
117,0.042,-0.387,0.81,0.104,0.054,
118,0.042,-0.376,0.812,0.103,0.047,
119,0.054,-0.38,0.825,0.095,0.036,
120,0.056,-0.379,0.825,0.095,0.034,
121,0.062,-0.384,0.839,0.095,0.031,
122,0.062,-0.415,0.869,0.095,0.033,
123,0.058,-0.433,0.888,0.096,0.038,
124,0.056,-0.431,0.888,0.103,0.035,
125,0.064,-0.427,0.888,0.101,0.032,
126,0.065,-0.43,0.897,0.102,0.029,
127,0.063,-0.43,0.901,0.101,0.028,
128,0.061,-0.428,0.9,0.108,0.029,
129,0.062,-0.434,0.907,0.108,0.033,
130,0.071,-0.444,0.918,0.108,0.033,
131,0.078,-0.441,0.915,0.106,0.032,
132,0.079,-0.441,0.91,0.11,0.039,
133,0.082,-0.444,0.91,0.105,0.045,
134,0.072,-0.443,0.911,0.104,0.056,
135,0.078,-0.442,0.912,0.11,0.044,
136,0.078,-0.448,0.925,0.102,0.054,
137,0.083,-0.435,0.919,0.102,0.053,
138,0.086,-0.431,0.923,0.103,0.054,
139,0.087,-0.425,0.926,0.104,0.046,
140,0.086,-0.445,0.951,0.101,0.047,
141,0.09,-0.435,0.956,0.091,0.043,
142,0.089,-0.442,0.958,0.101,0.042,
143,0.084,-0.445,0.966,0.097,0.047,
144,0.091,-0.429,0.97,0.085,0.035,
145,0.106,-0.437,0.984,0.086,0.02,
146,0.109,-0.428,0.972,0.094,0.015,
147,0.116,-0.424,0.981,0.093,0.008,
148,0.114,-0.42,0.978,0.102,0.006,
149,0.115,-0.419,0.983,0.103,0.007,
150,0.112,-0.417,0.988,0.106,0.004,
151,0.113,-0.409,0.988,0.107,0.002,
152,0.115,-0.409,0.996,0.105,-0.001,
153,0.12,-0.41,1.006,0.103,-0.009,
154,0.116,-0.409,1.014,0.095,-0.003,
155,0.115,-0.398,1.01,0.088,0.004,
156,0.113,-0.397,1.012,0.083,0.009,
157,0.112,-0.402,1.023,0.083,0.012,
158,0.107,-0.402,1.026,0.087,0.018,
159,0.113,-0.401,1.025,0.086,0.017,
160,0.112,-0.397,1.033,0.087,0.017,
161,0.123,-0.378,1.023,0.086,-0.001,
162,0.123,-0.378,1.014,0.09,0.006,
163,0.119,-0.383,1.014,0.103,0.003,
164,0.122,-0.384,1.021,0.108,0.002,
165,0.119,-0.376,1.033,0.106,-0.008,
166,0.095,-0.373,1.035,0.106,0.016,
167,0.098,-0.37,1.04,0.107,0.014,
168,0.093,-0.36,1.047,0.105,0.01,
169,0.1,-0.36,1.063,0.102,-0.002,
170,0.107,-0.349,1.067,0.091,-0.005,
171,0.089,-0.325,1.069,0.096,-0.01,
172,0.085,-0.321,1.066,0.107,-0.013,
173,0.074,-0.311,1.075,0.106,-0.017,
174,0.07,-0.332,1.079,0.112,-0.003,
175,0.064,-0.328,1.091,0.117,-0.002,
176,0.063,-0.32,1.086,0.123,-0.003,
177,0.056,-0.315,1.094,0.127,-0.004,
178,0.055,-0.313,1.106,0.121,-0.007,
179,0.042,-0.302,1.108,0.133,-0.005,
180,0.041,-0.326,1.132,0.131,-0.001,
181,0.038,-0.322,1.133,0.147,-0.013,
182,0.042,-0.317,1.133,0.154,-0.024,
183,0.042,-0.321,1.15,0.142,-0.021,
184,0.032,-0.318,1.152,0.145,-0.013,
185,0.037,-0.326,1.168,0.14,-0.019,
186,0.027,-0.329,1.176,0.148,-0.013,
187,0.026,-0.322,1.181,0.149,-0.015,
188,0.017,-0.314,1.178,0.16,-0.014,
189,0.021,-0.309,1.18,0.164,-0.02,
190,0.022,-0.307,1.195,0.165,-0.022,
191,0.021,-0.275,1.182,0.165,-0.034,
192,0.032,-0.265,1.165,0.164,-0.034,
193,0.032,-0.246,1.161,0.164,-0.039,
194,0.029,-0.246,1.161,0.163,-0.031,
195,0.039,-0.247,1.163,0.163,-0.033,
196,0.042,-0.218,1.133,0.153,-0.024,
197,0.038,-0.202,1.127,0.15,-0.023,
198,0.046,-0.205,1.116,0.167,-0.033,
199,0.044,-0.209,1.128,0.168,-0.034,
200,0.039,-0.208,1.12,0.183,-0.033,
201,0.027,-0.208,1.131,0.18,-0.026,
202,0.028,-0.208,1.113,0.178,-0.004,
203,0.033,-0.2,1.112,0.175,-0.004,
204,0.03,-0.189,1.092,0.172,0.011,
205,0.031,-0.187,1.096,0.176,0.011,
206,0.031,-0.183,1.087,0.175,0.025,
207,0.032,-0.169,1.078,0.176,0.026,
208,0.03,-0.136,1.05,0.176,0.026,
209,0.03,-0.162,1.048,0.206,0.026,
210,0.027,-0.156,1.047,0.199,0.032,
211,0.034,-0.144,1.04,0.2,0.031,
212,0.044,-0.146,1.041,0.198,0.03,
213,0.05,-0.135,1.03,0.2,0.022,
214,0.054,-0.144,1.023,0.2,0.038,
215,0.053,-0.139,1.027,0.2,0.042,
216,0.053,-0.128,1.023,0.198,0.044,
217,0.053,-0.115,1.018,0.196,0.048,
218,0.054,-0.102,1.017,0.195,0.047,
219,0.056,-0.092,1.014,0.195,0.046,
220,0.068,-0.077,1.004,0.196,0.031,
221,0.063,-0.08,1.004,0.209,0.032,
222,0.065,-0.07,1.017,0.195,0.03,
223,0.065,-0.042,1.002,0.191,0.029,
224,0.057,-0.046,1.006,0.186,0.049,
225,0.081,-0.064,1.011,0.185,0.046,
226,0.076,-0.045,1,0.182,0.05,
227,0.087,-0.039,0.999,0.18,0.045,
228,0.084,-0.017,0.991,0.171,0.045,
229,0.085,0.003,0.965,0.171,0.055,
230,0.084,0.024,0.96,0.17,0.051,
231,0.082,0.033,0.951,0.17,0.057,
232,0.08,0.035,0.96,0.169,0.053,
233,0.082,0.041,0.966,0.161,0.048,
234,0.086,0.076,0.928,0.161,0.047,
235,0.081,0.089,0.922,0.16,0.052,
236,0.075,0.099,0.926,0.164,0.054,
237,0.071,0.1,0.927,0.159,0.069,
238,0.064,0.107,0.93,0.157,0.073,
239,0.063,0.115,0.933,0.158,0.073,
240,0.049,0.142,0.927,0.16,0.073,
241,0.058,0.141,0.934,0.156,0.071,
242,0.023,0.177,0.929,0.156,0.075,
243,0.017,0.19,0.927,0.156,0.075,
244,0.018,0.171,0.928,0.165,0.09,
245,0.044,0.171,0.924,0.164,0.07,
246,0.012,0.203,0.926,0.159,0.074,
247,0.015,0.208,0.924,0.158,0.073,
248,0.015,0.19,0.919,0.182,0.075,
249,0.017,0.201,0.916,0.182,0.066,
250,0.002,0.226,0.911,0.181,0.066,
251,-0.011,0.241,0.916,0.179,0.064,
252,-0.011,0.246,0.922,0.178,0.065,
253,-0.017,0.259,0.921,0.165,0.074,
254,-0.016,0.256,0.931,0.163,0.073,
255,-0.013,0.26,0.925,0.169,0.074,
256,-0.005,0.256,0.93,0.171,0.072,
257,0.002,0.255,0.929,0.158,0.086,
258,-0.003,0.253,0.937,0.161,0.087,
259,-0.007,0.267,0.937,0.161,0.085,
260,-0.002,0.268,0.936,0.161,0.082,
261,0.001,0.269,0.942,0.16,0.083,
262,0.009,0.28,0.931,0.158,0.081,
263,0.015,0.284,0.927,0.156,0.081,
264,0.018,0.29,0.927,0.156,0.08,
265,0.02,0.285,0.933,0.158,0.081,
266,0.027,0.297,0.919,0.154,0.084,
267,0.026,0.333,0.883,0.158,0.081,
268,0.026,0.323,0.875,0.157,0.101,
269,0.031,0.306,0.88,0.157,0.117,
270,0.032,0.33,0.868,0.144,0.117,
271,0.038,0.325,0.875,0.143,0.118,
272,0.039,0.336,0.863,0.151,0.117,
273,0.035,0.336,0.87,0.15,0.118,
274,0.034,0.333,0.872,0.148,0.129,
275,0.033,0.335,0.871,0.175,0.105,
276,0.042,0.339,0.871,0.177,0.106,
277,0.054,0.346,0.866,0.183,0.094,
278,0.056,0.342,0.865,0.183,0.098,
279,0.064,0.347,0.86,0.182,0.098,
280,0.068,0.347,0.869,0.179,0.093,
281,0.067,0.368,0.85,0.179,0.098,
282,0.074,0.376,0.841,0.182,0.102,
283,0.081,0.386,0.839,0.183,0.098,
284,0.09,0.403,0.824,0.179,0.097,
285,0.096,0.423,0.805,0.18,0.097,
286,0.099,0.424,0.815,0.18,0.099,
287,0.107,0.417,0.824,0.166,0.109,
288,0.119,0.422,0.816,0.17,0.102,
289,0.119,0.42,0.818,0.212,0.06,
290,0.137,0.404,0.82,0.209,0.061,
291,0.147,0.403,0.814,0.213,0.06,
292,0.147,0.403,0.813,0.212,0.067,
293,0.144,0.411,0.81,0.213,0.076,
294,0.144,0.419,0.803,0.214,0.082,
295,0.147,0.43,0.794,0.21,0.084,
296,0.147,0.433,0.793,0.21,0.088,
297,0.146,0.44,0.788,0.211,0.091,
298,0.138,0.436,0.793,0.219,0.093,
299,0.138,0.43,0.806,0.216,0.094,
300,0.153,0.437,0.801,0.211,0.087,
301,0.152,0.448,0.796,0.216,0.09,
302,0.152,0.448,0.786,0.227,0.099,
303,0.144,0.448,0.792,0.229,0.107,
304,0.136,0.451,0.786,0.242,0.114,
305,0.146,0.467,0.767,0.239,0.113,
306,0.164,0.469,0.744,0.239,0.118,
307,0.161,0.473,0.747,0.236,0.117,
308,0.143,0.479,0.748,0.256,0.116,
309,0.137,0.481,0.749,0.258,0.122,
310,0.122,0.505,0.748,0.256,0.119,
311,0.124,0.506,0.755,0.252,0.123,
312,0.123,0.497,0.76,0.26,0.123,
313,0.113,0.496,0.777,0.26,0.123,
314,0.119,0.505,0.761,0.263,0.128,
315,0.124,0.505,0.765,0.273,0.119,
316,0.128,0.498,0.782,0.269,0.113,
317,0.14,0.497,0.787,0.263,0.114,
318,0.139,0.491,0.798,0.261,0.119,
319,0.139,0.492,0.802,0.255,0.13,
320,0.139,0.492,0.803,0.255,0.134,
321,0.143,0.482,0.806,0.255,0.142,
322,0.145,0.484,0.806,0.247,0.153,
323,0.154,0.478,0.809,0.251,0.151,
324,0.15,0.474,0.805,0.256,0.164,
325,0.152,0.463,0.819,0.258,0.163,
326,0.169,0.463,0.82,0.269,0.139,
327,0.17,0.459,0.826,0.269,0.141,
328,0.178,0.462,0.83,0.271,0.136,
329,0.18,0.461,0.831,0.274,0.143,
330,0.186,0.461,0.834,0.271,0.139,
331,0.187,0.459,0.837,0.27,0.143,
332,0.188,0.457,0.841,0.27,0.147,
333,0.188,0.457,0.841,0.27,0.15,
334,0.198,0.461,0.841,0.267,0.143,
335,0.195,0.467,0.842,0.262,0.142,
336,0.195,0.475,0.842,0.261,0.144,
337,0.196,0.485,0.836,0.26,0.143,
338,0.198,0.476,0.845,0.259,0.153,
339,0.195,0.473,0.858,0.256,0.155,
340,0.198,0.472,0.858,0.255,0.158,
341,0.216,0.47,0.855,0.249,0.154,
342,0.211,0.468,0.859,0.26,0.154,
343,0.213,0.467,0.867,0.257,0.15,
344,0.224,0.482,0.857,0.253,0.144,
345,0.226,0.476,0.868,0.254,0.146,
346,0.225,0.478,0.865,0.254,0.157,
347,0.235,0.458,0.871,0.253,0.172,
348,0.283,0.458,0.871,0.253,0.124,
349,0.291,0.441,0.871,0.253,0.136,
350,0.29,0.452,0.869,0.249,0.14,
351,0.294,0.452,0.869,0.254,0.135,
352,0.295,0.449,0.867,0.265,0.135,
353,0.297,0.439,0.868,0.266,0.149,
354,0.299,0.435,0.878,0.259,0.154,
355,0.311,0.434,0.886,0.255,0.144,
356,0.316,0.434,0.886,0.254,0.15,
357,0.309,0.436,0.882,0.258,0.162,
358,0.307,0.438,0.876,0.253,0.179,
359,0.313,0.442,0.87,0.249,0.186,
360,0.335,0.435,0.868,0.253,0.174,
361,0.337,0.418,0.869,0.251,0.191,
362,0.337,0.415,0.874,0.253,0.199,
363,0.363,0.413,0.869,0.261,0.175,
364,0.397,0.413,0.869,0.261,0.145,
