9591760
Day,Computer Science,Biology,Astrophysics,Visual Arts,Marketing
80,0.016,-0.366,0.674,-0.025,0.116,
81,0.016,-0.355,0.674,-0.027,0.115,
82,0.015,-0.351,0.68,-0.029,0.114,
83,0.019,-0.351,0.687,-0.03,0.109,
84,0.019,-0.336,0.687,-0.046,0.113,
85,0.019,-0.327,0.686,-0.046,0.114,
86,0.017,-0.334,0.699,-0.045,0.112,
87,0.012,-0.333,0.697,-0.043,0.119,
88,0.005,-0.34,0.698,-0.021,0.115,
89,0.001,-0.318,0.699,-0.026,0.107,
90,0.003,-0.327,0.714,-0.025,0.105,
91,0.003,-0.342,0.721,-0.011,0.105,
92,0,-0.339,0.723,-0.01,0.111,
93,-0.014,-0.324,0.728,-0.009,0.108,
94,0.002,-0.326,0.723,-0.013,0.103,
95,0.013,-0.347,0.738,-0.014,0.099,
96,0.011,-0.342,0.738,-0.023,0.116,
97,0.01,-0.337,0.74,-0.025,0.116,
98,0.013,-0.337,0.735,-0.02,0.121,
99,0.013,-0.345,0.753,-0.022,0.121,
100,0.019,-0.343,0.758,-0.024,0.118,
101,0.027,-0.33,0.755,-0.027,0.113,
102,0.027,-0.338,0.742,-0.014,0.127,
103,0.031,-0.342,0.734,-0.01,0.14,
104,0.03,-0.345,0.736,-0.01,0.147,
105,0.033,-0.344,0.752,-0.011,0.132,
106,0.031,-0.348,0.752,-0.005,0.135,
107,0.054,-0.34,0.747,-0.005,0.115,
108,0.052,-0.333,0.752,-0.008,0.114,
109,0.052,-0.314,0.752,-0.02,0.116,
110,0.046,-0.315,0.755,-0.008,0.113,
111,0.048,-0.309,0.753,-0.008,0.121,
112,0.044,-0.318,0.766,-0.002,0.119,
113,0.045,-0.326,0.769,0.003,0.125,
114,0.042,-0.327,0.775,0.016,0.11,
115,0.038,-0.325,0.782,0.016,0.109,
116,0.036,-0.347,0.806,0.013,0.113,
117,0.038,-0.345,0.807,0.012,0.111,
118,0.038,-0.334,0.809,0.011,0.104,
